Rank,Kit,MatchName,TotalTriangulatedcM,TriHits,EstimatedRelationship,ClusterGroup,Sources
286,YP9066606,YP9066606,2093,209,,,triang_423444393.csv
287,CQ8873340,1	1	1	1	1	1	1	1	1	1	-	1	2	1	-	-	-	1 (CQ8873340),2084,138,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
288,AT9198565,AT9198565,2057,204,,,triang_423444393.csv
289,A154327,A154327,2027,233,,,"triang_1710113373.csv,triang_423444393.csv"
290,YV1547337,YV1547337,1993,204,,,triang_423444393.csv
291,M846802,M846802,1993,176,,,"triang_1710113373.csv,triang_423444393.csv"
292,ZV2495472,ZV2495472,1937,165,,,"triang_1710113373.csv,triang_423444393.csv"
293,PV6928374,PV6928374,1896,132,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
294,A605751,A605751,1889,187,,,triang_423444393.csv
295,LL8273631,LL8273631,1883,106,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv,triang_627700260 (version 1).xlsb.csv"
296,A485015,A485015,1881,199,,,triang_423444393.csv
297,A146677,A146677,1880,225,,,"triang_1710113373.csv,triang_423444393.csv"
298,A181405,A181405,1797,166,,,"triang_1710113373.csv,triang_423444393.csv"
299,BX1508264,BX1508264,1785,121,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
300,M360951,M360951,1764,154,,,"triang_1710113373.csv,triang_423444393.csv"
301,HW2337925,HW2337925,1763,154,,,"triang_1710113373.csv,triang_423444393.csv"
302,A798489,A798489,1763,139,,,"triang_1710113373.csv,triang_423444393.csv"
303,A601086,A601086,1745,143,,,"triang_1257462371.csv,triang_137266628.csv,triang_1710113373.csv,triang_423444393.csv"
304,A622471,A622471,1742,139,,,"triang_1710113373.csv,triang_423444393.csv"
305,ZJ4272760,ZJ4272760,1742,139,,,"triang_1710113373.csv,triang_423444393.csv"
306,M130633,M130633,1738,189,,,"triang_1710113373.csv,triang_423444393.csv"
307,DN4610045,DN4610045,1735,143,,,"triang_1257462371.csv,triang_137266628.csv,triang_1710113373.csv,triang_423444393.csv"
308,M297536,M297536,1729,189,,,"triang_1710113373.csv,triang_423444393.csv"
309,MH5038785,MH5038785,1725,167,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
310,A916725,A916725,1716,200,,,triang_423444393.csv
311,A357048,A357048,1707,218,,,triang_423444393.csv
312,A782099,A782099,1707,137,,,"triang_1710113373.csv,triang_423444393.csv"
313,GD5167620,GD5167620,1697,155,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
314,LE5772825,LE5772825,1696,99,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv,triang_627700260 (version 1).xlsb.csv"
315,A952882,A952882,1692,218,,,triang_423444393.csv
316,WW9766345,WW9766345,1682,121,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
317,M605078,M605078,1659,177,,,triang_423444393.csv
318,DN5291156,DN5291156,1650,121,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
319,UF1647902,UF1647902,1644,171,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
320,SZ1273613,SZ1273613,1639,134,,,"triang_1710113373.csv,triang_423444393.csv"
321,A493990,A493990,1632,134,,,"triang_1710113373.csv,triang_423444393.csv"
322,A343170,A343170,1625,136,,,"triang_1710113373.csv,triang_423444393.csv"
323,A123757,A123757,1605,133,,,"triang_1710113373.csv,triang_423444393.csv"
324,A464863,A464863,1566,132,,,"triang_1710113373.csv,triang_423444393.csv"
325,JQ1367727,JQ1367727,1560,132,,,"triang_1710113373.csv,triang_423444393.csv"
326,LC5426774,LC5426774,1558,133,,,"triang_1710113373.csv,triang_423444393.csv"
327,KX1175300,KX1175300,1553,132,,,"triang_1710113373.csv,triang_423444393.csv"
328,H884407,H884407,1547,135,,,"triang_1710113373.csv,triang_423444393.csv"
329,A787355,A787355,1539,129,,,"triang_1710113373.csv,triang_423444393.csv"
330,A344802,A344802,1525,99,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv,triang_627700260 (version 1).xlsb.csv"
331,A744306,A744306,1522,133,,,"triang_1710113373.csv,triang_423444393.csv"
332,M378417,M378417,1516,121,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
333,A292698,A292698,1498,172,,,triang_423444393.csv
334,A115941,A115941,1485,132,,,"triang_1710113373.csv,triang_423444393.csv"
335,A054001,A054001,1484,136,,,"triang_1710113373.csv,triang_423444393.csv"
336,LZ9787255,LZ9787255,1483,132,,,triang_423444393.csv
337,GG2264709,GG2264709,1483,132,,,triang_423444393.csv
338,QU1374680,QU1374680,1483,132,,,triang_423444393.csv
339,M690757,M690757,1483,133,,,"triang_1710113373.csv,triang_423444393.csv"
340,NT1987265,NT1987265,1482,132,,,"triang_1710113373.csv,triang_423444393.csv"
341,M190741,M190741,1478,121,,,"triang_1710113373.csv,triang_423444393.csv"
342,M025320,M025320,1453,130,,,"triang_1710113373.csv,triang_423444393.csv"
343,A619254,A619254,1452,143,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
344,A590874,A590874,1449,99,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
345,A893397,A893397,1448,88,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
346,M780061,M780061,1437,139,,,triang_423444393.csv
347,A749123,A749123,1437,104,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
348,LY9164320,LY9164320,1437,104,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
349,WW3183569,WW3183569,1430,135,,,"triang_1710113373.csv,triang_423444393.csv"
350,ZH5168198,ZH5168198,1421,134,,,"triang_1710113373.csv,triang_423444393.csv"
351,A899608,A899608,1411,136,,,"triang_1710113373.csv,triang_423444393.csv"
352,ZQ6035913,ZQ6035913,1407,98,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
353,FB569558C1,FB569558C1,1401,138,,,triang_423444393.csv
354,AM2426543,AM2426543,1390,133,,,"triang_1710113373.csv,triang_423444393.csv"
355,A894372,A894372,1386,99,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
356,PV3490872,PV3490872,1383,132,,,"triang_1710113373.csv,triang_423444393.csv"
357,RF1169631,RF1169631,1381,128,,,"triang_1710113373.csv,triang_423444393.csv"
358,MK9397208,MK9397208,1378,89,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv,triang_627700260 (version 1).xlsb.csv"
359,A634855,A634855,1376,72,,,"triang_1257462371.csv,triang_137266628.csv,triang_1710113373.csv,triang_423444393.csv"
360,NE7851138,NE7851138,1345,132,,,triang_423444393.csv
361,EC1551873,EC1551873,1328,111,,,"triang_1710113373.csv,triang_423444393.csv"
362,M284028,M284028,1316,88,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
363,A090425,A090425,1313,88,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
364,HR5833554,HR5833554,1309,110,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
365,WQ7280390,WQ7280390,1305,88,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
366,A311945,A311945,1297,114,,,"triang_1710113373.csv,triang_423444393.csv"
367,DC1903199,DC1903199,1296,99,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
368,A200993,A200993,1295,99,,,"triang_1710113373.csv,triang_423444393.csv"
369,M113858,M113858,1295,99,,,"triang_1710113373.csv,triang_423444393.csv"
370,RY7401633,RY7401633,1291,112,,,"triang_1710113373.csv,triang_423444393.csv"
371,A095674,A095674,1291,112,,,"triang_1710113373.csv,triang_423444393.csv"
372,BP6377281,BP6377281,1290,99,,,"triang_1710113373.csv,triang_423444393.csv"
373,A722783,A722783,1290,99,,,"triang_1710113373.csv,triang_423444393.csv"
374,WL8812306,WL8812306,1289,121,,,triang_423444393.csv
375,NF8282058,NF8282058,1288,138,,,triang_423444393.csv
376,A516400,A516400,1280,121,,,triang_423444393.csv
377,FX3168979,FX3168979,1280,121,,,triang_423444393.csv
378,QG9155881,QG9155881,1268,77,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
379,NG2249717,NG2249717,1268,77,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
380,FQ7678133,FQ7678133,1232,151,,,triang_423444393.csv
381,M039881,M039881,1201,121,,,triang_423444393.csv
382,A899349,A899349,1197,121,,,triang_423444393.csv
383,ML3855273,ML3855273,1191,99,,,"triang_1710113373.csv,triang_423444393.csv"
384,PZ9145321,PZ9145321,1174,128,,,triang_423444393.csv
385,HF1084790,HF1084790,1174,99,,,"triang_1710113373.csv,triang_423444393.csv"
386,DJ6057994,DJ6057994,1164,110,,,triang_423444393.csv
387,LM7449947,LM7449947,1159,95,,,"triang_1710113373.csv,triang_423444393.csv"
388,A380941,A380941,1145,111,,,"triang_1710113373.csv,triang_423444393.csv"
389,DV196094C1,DV196094C1,1137,99,,,triang_423444393.csv
390,YS8863302,YS8863302,1132,66,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
391,ZQ6750145,ZQ6750145,1119,99,,,"triang_1710113373.csv,triang_423444393.csv"
392,ZX4031461,ZX4031461,1118,89,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
393,SM6533250,SM6533250,1117,96,,,"triang_1710113373.csv,triang_423444393.csv"
394,JX2009573,JX2009573,1111,99,,,triang_423444393.csv
395,M259302,M259302,1108,83,,,triang_423444393.csv
396,A103625,A103625,1104,100,,,"triang_1710113373.csv,triang_423444393.csv"
397,A077739,A077739,1100,110,,,"triang_137266628.csv,triang_423444393.csv"
398,M979238,M979238,1099,66,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
399,M809258,M809258,1076,66,,,"triang_1710113373.csv,triang_423444393.csv"
400,M959228,M959228,1076,66,,,"triang_1710113373.csv,triang_423444393.csv"
401,ZQ6309483,ZQ6309483,1075,77,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
402,M940436,M940436,1054,100,,,"triang_1710113373.csv,triang_423444393.csv"
403,PX2748024,PX2748024,1054,77,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
404,M567425,M567425,1049,100,,,"triang_1710113373.csv,triang_423444393.csv"
405,A119769,A119769,1043,73,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
406,AH2672185,AH2672185,1040,133,,,triang_423444393.csv
407,A352377,A352377,1039,99,,,triang_423444393.csv
408,A346625,A346625,1038,66,,,"triang_1710113373.csv,triang_423444393.csv"
409,A903579,A903579,1036,66,,,"triang_1710113373.csv,triang_423444393.csv"
410,XW3092176,XW3092176,1035,94,,,triang_423444393.csv
411,FL7019763,FL7019763,1032,104,,,triang_423444393.csv
412,A540357,A540357,1021,99,,,triang_423444393.csv
413,BS8508705,BS8508705,1013,124,,,"triang_1710113373.csv,triang_423444393.csv"
414,TR4979531,TR4979531,1012,124,,,"triang_1710113373.csv,triang_423444393.csv"
415,M810821,M810821,1010,88,,,"triang_1710113373.csv,triang_423444393.csv"
416,M976582,M976582,991,44,,,triang_627700260 (version 1).xlsb.csv
417,A417186,A417186,990,95,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
418,A430294,Tammy (A430294),979,60,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv,triang_627700260 (version 1).xlsb.csv"
419,SG7791594,SG7791594,977,94,,,triang_423444393.csv
420,A780402,A780402,971,111,,,triang_423444393.csv
421,AV1354826,AV1354826,969,124,,,"triang_1710113373.csv,triang_423444393.csv"
422,DP3510715,DP3510715,968,124,,,"triang_1710113373.csv,triang_423444393.csv"
423,RH9256432,RH9256432,963,77,,,"triang_1710113373.csv,triang_423444393.csv"
424,M041845,M041845,963,70,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
425,T624898,T624898,959,94,,,triang_423444393.csv
426,T880271,T880271,958,105,,,triang_423444393.csv
427,A401956,A401956,957,90,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
428,JZ3181461,JZ3181461,951,45,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
429,LL8878727,LL8878727,950,99,,,"triang_1710113373.csv,triang_423444393.csv"
430,A691736,A691736,950,111,,,triang_423444393.csv
431,A946792,A946792,949,77,,,"triang_1710113373.csv,triang_423444393.csv"
432,LE1988950,LE1988950,948,99,,,triang_423444393.csv
433,A089797,A089797,934,101,,,"triang_1710113373.csv,triang_423444393.csv"
434,RW3924448,RW3924448,926,66,,,"triang_1710113373.csv,triang_423444393.csv"
435,A889647,A889647,915,92,,,triang_423444393.csv
436,T178664,T178664,911,66,,,"triang_1710113373.csv,triang_423444393.csv"
437,T704336,T704336,909,153,,,triang_423444393.csv
438,A478397,A478397,905,91,,,triang_423444393.csv
439,H334438,H334438,900,66,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
440,H344142,H344142,895,66,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
441,QD8622567,QD8622567,875,88,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
442,KD5026343,KD5026343,871,66,,,"triang_1710113373.csv,triang_423444393.csv"
443,HY5761777,HY5761777,869,62,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
444,A647243,A647243,867,55,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
445,A786529,A786529,865,64,,,"triang_1710113373.csv,triang_423444393.csv"
446,QL8348479,QL8348479,865,64,,,"triang_1710113373.csv,triang_423444393.csv"
447,RJ4852423,RJ4852423,858,107,,,triang_423444393.csv
448,M478400,M478400,855,84,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
449,SG9498232,SG9498232,854,55,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
450,DV4607172,DV4607172,839,66,,,"triang_1710113373.csv,triang_423444393.csv"
451,M106908,M106908,837,66,,,"triang_1710113373.csv,triang_423444393.csv"
452,M332530,M332530,837,66,,,"triang_1710113373.csv,triang_423444393.csv"
453,A345786,A345786,826,66,,,"triang_1710113373.csv,triang_423444393.csv"
454,A332067,A332067,825,84,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
455,AY3018315,AY3018315,824,86,,,triang_423444393.csv
456,SW4656606,SW4656606,821,66,,,"triang_1710113373.csv,triang_423444393.csv"
457,XA1525044,XA1525044,821,77,,,"triang_1710113373.csv,triang_423444393.csv"
458,HA9770122,HA9770122,821,66,,,"triang_1710113373.csv,triang_423444393.csv"
459,MA657888C1,MA657888C1,820,77,,,triang_423444393.csv
460,NN9504017,NN9504017,819,62,,,"triang_1710113373.csv,triang_423444393.csv"
461,MV5080535,MV5080535,818,66,,,"triang_1710113373.csv,triang_423444393.csv"
462,TH7854711,TH7854711,818,66,,,"triang_1710113373.csv,triang_423444393.csv"
463,XU3845102,XU3845102,809,55,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
464,A466782,A466782,806,55,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
465,EA4901487,EA4901487,803,36,,,"triang_1710113373.csv,triang_423444393.csv"
466,JU1407832,JU1407832,799,78,,,"triang_1710113373.csv,triang_423444393.csv"
467,KA4318195,KA4318195,793,36,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
468,PH1251868,PH1251868,779,66,,,"triang_1710113373.csv,triang_423444393.csv"
469,A269267,A269267,776,77,,,triang_423444393.csv
470,A559315,A559315,773,77,,,triang_423444393.csv
471,GH7456555,GH7456555,773,77,,,triang_423444393.csv
472,A692625,A692625,771,77,,,triang_423444393.csv
473,TV1226993,TV1226993,767,77,,,triang_423444393.csv
474,A192851,A192851,763,66,,,"triang_1710113373.csv,triang_423444393.csv"
475,A977004,A977004,763,77,,,triang_423444393.csv
476,A480545,A480545,757,68,,,triang_423444393.csv
477,ZT9741255,ZT9741255,755,66,,,"triang_1710113373.csv,triang_423444393.csv"
478,M065923,M065923,755,78,,,"triang_1710113373.csv,triang_423444393.csv"
479,KS9357701,KS9357701,750,77,,,triang_423444393.csv
480,FC4802563,FC4802563,750,77,,,triang_423444393.csv
481,A263386,A263386,750,62,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
482,GF5194867,GF5194867,746,77,,,triang_423444393.csv
483,A658929,A658929,744,68,,,triang_423444393.csv
484,A443587,A443587,740,101,,,triang_423444393.csv
485,PP8152375,PP8152375,739,66,,,"triang_1710113373.csv,triang_423444393.csv"
486,TK9447836,TK9447836,729,77,,,triang_423444393.csv
487,A242337,A242337,716,55,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
488,M146339,M146339,715,70,,,"triang_1710113373.csv,triang_423444393.csv"
489,A635727,A635727,714,55,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
490,ZS8123634,ZS8123634,698,68,,,triang_423444393.csv
491,BG2214929,BG2214929,683,40,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
492,A215760,A215760,679,67,,,"triang_1710113373.csv,triang_423444393.csv"
493,M428184,M428184,677,67,,,"triang_1710113373.csv,triang_423444393.csv"
494,A720824,A720824,668,51,,,"triang_1710113373.csv,triang_423444393.csv"
495,DX8703579,DX8703579,658,72,,,triang_423444393.csv
496,M116117,M116117,656,44,,,"triang_137266628.csv,triang_1710113373.csv,triang_423444393.csv"
497,A128352,A128352,654,72,,,triang_423444393.csv
498,KA8656475,KA8656475,650,33,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
499,A812099,A812099,650,33,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
500,M759437,M759437,645,44,,,"triang_1710113373.csv,triang_423444393.csv"
501,RS5803621,RS5803621,638,44,,,"triang_1710113373.csv,triang_423444393.csv"
502,AW1558201,AW1558201,634,66,,,"triang_1710113373.csv,triang_423444393.csv"
503,DG6233348,DG6233348,634,44,,,"triang_1710113373.csv,triang_423444393.csv"
504,FU3014701,FU3014701,634,44,,,"triang_1710113373.csv,triang_423444393.csv"
505,A779431,A779431,633,64,,,triang_423444393.csv
506,GG4074464,GG4074464,629,44,,,"triang_1710113373.csv,triang_423444393.csv"
507,QJ5679383,QJ5679383,627,66,,,"triang_1710113373.csv,triang_423444393.csv"
508,A528547,A528547,621,55,,,triang_423444393.csv
509,ES5604299,ES5604299,616,88,,,"triang_1710113373.csv,triang_423444393.csv"
510,A285203,A285203,606,45,,,"triang_1710113373.csv,triang_423444393.csv"
511,HY1067534,HY1067534,602,40,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
512,A957400,A957400,601,66,,,triang_423444393.csv
513,A373429,A373429,598,50,,,"triang_1710113373.csv,triang_423444393.csv"
514,JU6809746,JU6809746,597,41,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
515,T468020,T468020,597,46,,,"triang_1710113373.csv,triang_423444393.csv"
516,M626597,M626597,586,48,,,"triang_1710113373.csv,triang_423444393.csv"
517,A783601,A783601,574,55,,,triang_423444393.csv
518,A652883,A652883,572,55,,,triang_423444393.csv
519,BF7297921,BF7297921,570,55,,,triang_423444393.csv
520,QW6801969,QW6801969,569,47,,,"triang_1710113373.csv,triang_423444393.csv"
521,MM1932627,MM1932627,568,66,,,triang_423444393.csv
522,RJ6741605,RJ6741605,566,138,,,triang_423444393.csv
523,KJ6924118,KJ6924118,565,66,,,"triang_1710113373.csv,triang_423444393.csv"
524,T401534,T401534,554,57,,,triang_423444393.csv
525,KD6839019,KD6839019,549,44,,,triang_423444393.csv
526,A721406,A721406,540,62,,,triang_423444393.csv
527,LF9812696,LF9812696,532,46,,,"triang_1710113373.csv,triang_423444393.csv"
528,CX6471178,CX6471178,521,33,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
529,DG1191676,DG1191676,521,33,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
530,YJ1373474,YJ1373474,519,56,,,"triang_1710113373.csv,triang_423444393.csv"
531,A488651,A488651,513,44,,,"triang_1710113373.csv,triang_423444393.csv"
532,A298765,A298765,512,44,,,"triang_1710113373.csv,triang_423444393.csv"
533,XK4690502,XK4690502,510,44,,,triang_423444393.csv
534,EX5134043,EX5134043,508,51,,,triang_423444393.csv
535,M304033,M304033,508,44,,,"triang_1710113373.csv,triang_423444393.csv"
536,GG5799506,GG5799506,508,44,,,"triang_1710113373.csv,triang_423444393.csv"
537,A242246,A242246,506,74,,,triang_423444393.csv
538,M448460,M448460,505,74,,,triang_423444393.csv
539,CS4301062,CS4301062,505,33,,,"triang_1710113373.csv,triang_423444393.csv"
540,A721707,A721707,505,74,,,triang_423444393.csv
541,XE7743181,XE7743181,498,49,,,triang_423444393.csv
542,PA1114510,PA1114510,495,41,,,"triang_1710113373.csv,triang_423444393.csv"
543,A576272,A576272,480,56,,,"triang_1710113373.csv,triang_423444393.csv"
544,RS2257306,RS2257306,477,44,,,"triang_1710113373.csv,triang_423444393.csv"
545,A681022,A681022,475,34,,,"triang_1710113373.csv,triang_423444393.csv"
546,A746286,A746286,473,56,,,"triang_1710113373.csv,triang_423444393.csv"
547,M602844,M602844,473,68,,,"triang_1710113373.csv,triang_423444393.csv"
548,A491753,A491753,471,44,,,triang_423444393.csv
549,A203246,A203246,470,44,,,triang_423444393.csv
550,A310677,A310677,470,44,,,triang_423444393.csv
551,A755939,A755939,470,44,,,triang_423444393.csv
552,QN2439575,QN2439575,469,44,,,triang_423444393.csv
553,M671238,M671238,468,44,,,triang_423444393.csv
554,WP3518742,WP3518742,465,44,,,triang_423444393.csv
555,A634415,A634415,464,50,,,triang_423444393.csv
556,DQ7307279,DQ7307279,462,80,,,triang_423444393.csv
557,SG7270990,SG7270990,459,33,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
558,CW4381013,CW4381013,453,44,,,triang_423444393.csv
559,KA3400584,KA3400584,453,44,,,triang_423444393.csv
560,SU8827936,SU8827936,451,58,,,triang_423444393.csv
561,A109826,A109826,446,33,,,triang_423444393.csv
562,A901947,A901947,444,44,,,"triang_1710113373.csv,triang_423444393.csv"
563,A988865,A988865,444,44,,,triang_423444393.csv
564,M585966,M585966,439,36,,,"triang_1710113373.csv,triang_423444393.csv"
565,AX3080722,AX3080722,439,33,,,"triang_1710113373.csv,triang_423444393.csv"
566,PA8815931,PA8815931,436,33,,,"triang_1710113373.csv,triang_423444393.csv"
567,M442824,M442824,426,33,,,"triang_1710113373.csv,triang_423444393.csv"
568,QE2060073,QE2060073,424,43,,,triang_423444393.csv
569,H289643,H289643,413,33,,,triang_423444393.csv
570,SA2476080,SA2476080,404,33,,,triang_423444393.csv
571,A981818,A981818,396,28,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
572,A231992,A231992,392,22,,,"triang_1710113373.csv,triang_423444393.csv"
573,DD2717291,DD2717291,392,22,,,"triang_1710113373.csv,triang_423444393.csv"
574,T944407,T944407,388,104,,,triang_423444393.csv
575,A720922,A720922,381,44,,,"triang_1710113373.csv,triang_423444393.csv"
576,FH8646527,FH8646527,375,28,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
577,UM4473235,UM4473235,367,25,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
578,A253750,A253750,366,33,,,triang_423444393.csv
579,H099404,H099404,365,33,,,triang_423444393.csv
580,A750443,A750443,357,50,,,"triang_1710113373.csv,triang_423444393.csv"
581,AL7166242,AL7166242,352,45,,,triang_423444393.csv
582,A665702,A665702,341,24,,,"triang_1710113373.csv,triang_423444393.csv"
583,SW6141514,SW6141514,341,24,,,"triang_1710113373.csv,triang_423444393.csv"
584,M452000,M452000,333,44,,,triang_423444393.csv
585,A640593,A640593,329,24,,,"triang_1710113373.csv,triang_423444393.csv"
586,A050308,A050308,327,27,,,"triang_1710113373.csv,triang_423444393.csv"
587,TQ9615060,TQ9615060,319,24,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
588,QT5956104,QT5956104,316,21,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv,triang_627700260 (version 1).xlsb.csv"
589,JV9681730,JV9681730,314,33,,,triang_423444393.csv
590,HJ3451604,HJ3451604,312,28,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
591,JY6779343,JY6779343,310,33,,,triang_423444393.csv
592,A487190,A487190,288,22,,,"triang_1710113373.csv,triang_423444393.csv"
593,MW6755258,MW6755258,288,22,,,"triang_1710113373.csv,triang_423444393.csv"
594,A559095,A559095,284,28,,,"triang_1710113373.csv,triang_423444393.csv"
595,CC7715218,CC7715218,279,22,,,"triang_1710113373.csv,triang_423444393.csv"
596,QG3366171,QG3366171,275,22,,,"triang_137266628.csv,triang_423444393.csv"
597,A592597,A592597,269,22,,,"triang_1710113373.csv,triang_423444393.csv"
598,CU8577344,CU8577344,268,33,,,"triang_1710113373.csv,triang_423444393.csv"
599,A059102,A059102,267,11,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv,triang_627700260 (version 1).xlsb.csv"
600,A243756,A243756,265,11,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv,triang_627700260 (version 1).xlsb.csv"
601,QV7180101,QV7180101,265,12,,,triang_1257462371.csv
602,T918579,T918579,265,20,,,"triang_1710113373.csv,triang_423444393.csv"
603,EZ7212971,EZ7212971,264,17,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
604,XB1446943,XB1446943,264,24,,,triang_423444393.csv
605,KP4856905,KP4856905,263,20,,,"triang_1710113373.csv,triang_423444393.csv"
606,ZN5201239,ZN5201239,260,22,,,"triang_1710113373.csv,triang_423444393.csv"
607,EZ3452777,EZ3452777,260,22,,,"triang_1710113373.csv,triang_423444393.csv"
608,A971024,A971024,243,28,,,triang_423444393.csv
609,JQ2271445,JQ2271445,240,15,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
610,A852483,A852483,240,22,,,triang_423444393.csv
611,DB3725485,DB3725485,240,15,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
612,A950317,A950317,239,22,,,triang_423444393.csv
613,M560159,M560159,234,33,,,"triang_1710113373.csv,triang_423444393.csv"
614,A219264,A219264,233,21,,,triang_423444393.csv
615,EH1584659,EH1584659,230,22,,,triang_423444393.csv
616,A915798,A915798,230,22,,,triang_423444393.csv
617,RB2159013,RB2159013,229,22,,,triang_423444393.csv
618,A814356,A814356,229,22,,,triang_423444393.csv
619,A134746,A134746,228,22,,,triang_423444393.csv
620,A893843,A893843,227,22,,,"triang_1710113373.csv,triang_423444393.csv"
621,CS2990932,CS2990932,224,22,,,triang_423444393.csv
622,WZ9632101,WZ9632101,222,14,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
623,A334621,A334621,221,11,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv,triang_627700260 (version 1).xlsb.csv"
624,TK9201491,TK9201491,214,14,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
625,EH1310117,EH1310117,211,22,,,"triang_1710113373.csv,triang_423444393.csv"
626,A610050,A610050,200,18,,,triang_423444393.csv
627,A883572,A883572,190,22,,,triang_423444393.csv
628,DD2097659,DD2097659,186,21,,,triang_423444393.csv
629,ZV3835534,ZV3835534,175,7,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv,triang_627700260 (version 1).xlsb.csv"
